timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
192526955,192526247,1200.0,0.63028544,0.04178834,1.2745444,0.0,255,190,6,4,0,0,1,1,1,1,35
193527075,192526247,1200.0,0.63028544,0.041578107,1.2186345,0.0,255,190,6,4,0,0,1,1,1,1,35
193601175,193594417,1200.0,0.63028544,0.041578107,1.2186345,0.0,255,190,6,4,0,0,1,1,1,1,35
194605298,194604886,1200.0,0.63028544,0.041735604,1.309703,0.0,255,190,6,4,0,0,1,1,1,1,35
196456025,196451293,1200.0,0.63028544,0.04169947,1.226163,0.0,255,190,6,4,0,0,1,1,1,1,35
197458091,196451293,1200.0,0.63028544,0.06274619,1.2559197,0.0,255,190,6,4,0,0,1,1,1,1,35
197609840,197605417,1200.0,0.63028544,0.020986358,1.1332633,0.0,255,190,6,4,0,0,1,1,1,1,35
199457463,199456948,1200.0,0.63028544,0.04190893,1.4698061,0.0,255,190,6,4,0,0,1,1,1,1,35
200466317,199456948,1200.0,0.63028544,0.062331554,1.2100236,0.0,255,190,6,4,0,0,1,1,1,1,35
200620937,200607841,1200.0,0.63028544,0.020784834,1.0600265,0.0,255,190,6,4,0,0,1,1,1,1,35
202456453,202456179,1200.0,0.63028544,0.04191215,1.4389838,0.0,255,190,6,4,0,0,1,1,1,1,35
203467059,202456179,1200.0,0.63028544,0.06259824,1.2927034,0.0,255,190,6,4,0,0,1,1,1,1,35
203613914,203609883,1200.0,0.63028544,0.020855367,1.1182449,0.0,255,190,6,4,0,0,1,1,1,1,35
205469773,205457410,1200.0,0.63028544,0.04185038,1.3770769,0.0,255,190,6,4,0,0,1,1,1,1,35
206477878,205457410,1200.0,0.63028544,0.06276238,1.3568628,0.0,255,190,6,4,0,0,1,1,1,1,35
206619056,206612079,1200.0,0.63028544,0.02080959,1.0117425,0.0,255,190,6,4,0,0,1,1,1,1,35
208469056,208459903,1200.0,0.63028544,0.041922398,1.1448808,0.0,255,190,6,4,0,0,1,1,1,1,35
209476930,208459903,1200.0,0.63028544,0.06270322,1.3217441,0.0,255,190,6,4,0,0,1,1,1,1,35
209614419,209613204,1200.0,0.63028544,0.0209838,1.1381214,0.0,255,190,6,4,0,0,1,1,1,1,35
211468267,211461407,1200.0,0.63028544,0.059708737,1.236966,0.0,255,190,6,4,0,0,1,1,1,1,35
212470219,211461407,1200.0,0.63028544,0.04488245,1.1509856,0.0,255,190,6,4,0,0,1,1,1,1,35
212617058,212616292,1200.0,0.63028544,0.020854454,1.1807594,0.0,255,190,6,4,0,0,1,1,1,1,35
214473071,214462429,1200.0,0.63028544,0.06263409,1.2268327,0.0,255,190,6,4,0,0,1,1,1,1,35
215480766,214462429,1200.0,0.63028544,0.041321173,1.2465221,0.0,255,190,6,4,0,0,1,1,1,1,35
215619369,215619038,1200.0,0.63028544,0.020858517,1.1084812,0.0,255,190,6,4,0,0,1,1,1,1,35
217471251,217464995,1200.0,0.63028544,0.062633716,1.3192848,0.0,255,190,6,4,0,0,1,1,1,1,35
