timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
255524379,-2.4355428,-2.4990969,0.1258005,0.12477914,0.0,0.0,1.0,0.026383594,0.09230139
256531438,-2.4796808,-2.54483,0.12384703,0.12169167,0.0,0.0,1.0,0.00039834762,0.09183714
257539086,-2.5718606,-2.6402228,0.12398801,0.120967574,0.0,0.0,1.0,0.08589325,0.09225433
258543971,-2.687465,-2.7586036,0.11680414,0.11289188,0.0,0.0,1.0,0.1185855,0.09235355
259546234,-2.723699,-2.795066,0.11612045,0.111766756,0.0,0.0,1.0,-0.012492296,0.09130762
260557411,-2.7349877,-2.8076913,0.121929705,0.11609294,0.0,0.0,1.0,0.004379677,0.09083957
261566739,-2.718239,-2.7878118,0.117625415,0.10998178,0.0,0.0,1.0,-0.032337427,0.09053898
262568096,-2.7036574,-2.7669792,0.12841181,0.119349964,0.0,0.0,1.0,-0.02831152,0.09033635
263575726,-2.7019634,-2.7548797,0.14023551,0.13027847,0.0,0.0,1.0,-0.04176739,0.090173416
264585814,-2.7111828,-2.7592707,0.14774188,0.13973577,0.0,0.0,1.0,0.006310064,0.09037362
265589166,-2.7287405,-2.7700684,0.15619656,0.15048203,0.0,0.0,1.0,-0.027758978,0.09038065
266590793,-2.7291195,-2.7703552,0.16331804,0.1600703,0.0,0.0,1.0,-0.017470565,0.09058368
267601999,-2.7628856,-2.7975116,0.16649915,0.1662317,0.0,0.0,1.0,-0.016709719,0.09104216
268604255,-2.7513144,-2.7869956,0.16043994,0.16308467,0.0,0.0,1.0,0.029797824,0.09169902
269614714,-2.7386394,-2.774305,0.15655503,0.16054016,0.0,0.0,1.0,0.10047998,0.09141301
270619032,-2.7070653,-2.7428133,0.15875055,0.16255373,0.0,0.0,1.0,0.0075724963,0.09114812
271623266,-2.651455,-2.6836088,0.16067454,0.16308859,0.0,0.0,1.0,0.08617683,0.09098979
272634297,-2.609542,-2.637176,0.16353121,0.16423053,0.0,0.0,1.0,0.08040184,0.09074952
273644262,-2.5367236,-2.5513089,0.16994563,0.16843054,0.0,0.0,1.0,0.12083829,0.090461984
274653001,-2.4907832,-2.491411,0.17800541,0.17515396,0.0,0.0,1.0,0.12574366,0.0902161
275653131,-2.4697838,-2.4536605,0.18967068,0.18596952,0.0,0.0,1.0,0.23894857,0.09011386
276660030,-2.4585059,-2.4159846,0.19961832,0.19546787,0.0,0.0,1.0,0.2102556,0.09008418
277672739,-2.457028,-2.3765883,0.19961756,0.19511734,0.0,0.0,1.0,0.22886989,0.090089716
278676819,-2.4677088,-2.3581636,0.21165767,0.20706818,0.0,0.0,1.0,0.23271339,0.09009093
279680657,-2.497883,-2.3694062,0.22121751,0.2169525,0.0,0.0,1.0,0.283839,0.0901686
280683991,-2.6378777,-2.4811106,0.22511001,0.2230674,0.0,0.0,1.0,0.26923227,0.09054159
281685701,-2.7847805,-2.6140614,0.22217917,0.22218296,0.0,0.0,1.0,0.092783906,0.09094879
282694053,-2.8354614,-2.6633997,0.2162001,0.2170449,0.0,0.0,1.0,0.052209426,0.09118862
283694088,-2.8646173,-2.6925375,0.21320973,0.21398452,0.0,0.0,1.0,0.0042462805,0.09079036
284698937,-2.8664384,-2.6941438,0.21574686,0.21589881,0.0,0.0,1.0,-0.04681752,0.09064345
285707950,-2.8581655,-2.685235,0.21541259,0.2144697,0.0,0.0,1.0,-0.054312732,0.09066315
286713969,-2.808646,-2.6318734,0.22113018,0.2191895,0.0,0.0,1.0,-0.09830655,0.09053234
287725075,-2.7650976,-2.5820892,0.22661889,0.22337554,0.0,0.0,1.0,-0.087784,0.09030413
288731878,-2.7450786,-2.5533397,0.23515993,0.23063208,0.0,0.0,1.0,-0.08081092,0.09014126
289733710,-2.7508278,-2.5483315,0.24657883,0.24226,0.0,0.0,1.0,-0.056779753,0.09015927
290738247,-2.7586358,-2.5544035,0.24985465,0.24886505,0.0,0.0,1.0,-0.025202863,0.09070439
291746394,-2.7394838,-2.5371642,0.24679676,0.24933958,0.0,0.0,1.0,0.07054772,0.09141327
292753149,-2.6890724,-2.4913273,0.2320082,0.23858228,0.0,0.0,1.0,-0.0007858424,0.09190671
293756763,-2.5560138,-2.3593268,0.21450146,0.22225437,0.0,0.0,1.0,0.21097513,0.09175548
294759885,-2.301982,-2.099788,0.2031361,0.2099691,0.0,0.0,1.0,0.23527072,0.09171172
295762228,-2.0859954,-1.8718846,0.19303812,0.19759546,0.0,0.0,1.0,0.19250649,0.09146096
296773164,-1.9592863,-1.7314302,0.18981163,0.1912424,0.0,0.0,1.0,0.09793525,0.0911935
297774132,-1.8803464,-1.6364648,0.19582775,0.19468533,0.0,0.0,1.0,0.087046325,0.09036724
298782979,-1.8453356,-1.5785804,0.19479352,0.19214399,0.0,0.0,1.0,0.21029264,0.09021421
299794348,-1.809941,-1.4967418,0.20655812,0.20256542,0.0,0.0,1.0,0.19597173,0.09017823
300795288,-1.8007638,-1.4503088,0.21861744,0.21403866,0.0,0.0,1.0,0.27562097,0.09014973
301804709,-1.8745253,-1.4870293,0.22626157,0.2229995,0.0,0.0,1.0,0.2287232,0.09049053
302804722,-2.2557228,-1.8085082,0.2122374,0.21614127,0.0,0.0,1.0,0.25019416,0.09198298
303808461,-2.364524,-1.9067404,0.19154292,0.20031296,0.0,0.0,1.0,0.017824883,0.09254861
304812815,-2.4729884,-2.0099115,0.15919349,0.17221937,0.0,0.0,1.0,0.032391757,0.09324843
305813705,-2.4356484,-1.9725912,0.14268766,0.15603797,0.0,0.0,1.0,-0.015369585,0.09315279
306816484,-2.3917174,-1.9262357,0.122133754,0.13176247,0.0,0.0,1.0,0.0084269615,0.093643054
307817186,-2.383679,-1.9172229,0.114902474,0.12052657,0.0,0.0,1.0,0.047698658,0.092347495
308826054,-2.3894563,-1.9236958,0.115565136,0.11821907,0.0,0.0,1.0,0.03035759,0.09180758
309835805,-2.4215422,-1.9600285,0.117238596,0.11686943,0.0,0.0,1.0,-0.024157977,0.091774866
310850921,-2.435847,-1.9754719,0.11514864,0.112029165,0.0,0.0,1.0,0.06298795,0.09227972
