timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
162743441,4.563281,0.0,0,0,1,0,1,0,0
163243396,4.650293,0.0,0,0,1,0,1,0,0
163742139,4.611621,0.0,0,0,1,0,1,0,0
164253374,4.361865,0.0,0,0,1,0,1,0,0
164752430,4.611621,0.0,0,0,1,0,1,0,0
165251818,4.6051755,0.0,0,0,1,0,1,0,0
165753873,4.4569335,0.0,0,0,1,0,1,0,0
166263198,4.592285,0.0,0,0,1,0,1,0,0
166762104,4.650293,0.0,0,0,1,0,1,0,0
167261815,4.6438475,0.0,0,0,1,0,1,0,0
167763134,4.6631837,0.0,0,0,1,0,1,0,0
168271755,4.7211914,0.0,0,0,1,0,1,0,0
168771745,4.753418,0.0,0,0,1,0,1,0,0
169282331,4.729248,0.0,0,0,1,0,1,0,0
169783022,4.48916,0.0,0,0,1,0,1,0,0
170281619,4.5342774,0.0,0,0,1,0,1,0,0
170782058,4.6954103,0.0,0,0,1,0,1,0,0
171281638,4.714746,0.0,0,0,1,0,1,0,0
171781739,4.6180663,0.0,0,0,1,0,1,0,0
172281622,4.6631837,0.0,0,0,1,0,1,0,0
172792462,4.508496,0.0,0,0,1,0,1,0,0
173295625,4.666406,0.0,0,0,1,0,1,0,0
173791739,4.6631837,0.0,0,0,1,0,1,0,0
174293098,4.4569335,0.0,0,0,1,0,1,0,0
174802690,4.572949,0.0,0,0,1,0,1,0,0
175304890,4.5600586,0.0,0,0,1,0,1,0,0
175801754,4.676074,0.0,0,0,1,0,1,0,0
176303332,4.6245117,0.0,0,0,1,0,1,0,0
176801770,4.589062,0.0,0,0,1,0,1,0,0
177312421,4.5987306,0.0,0,0,1,0,1,0,0
177811617,4.637402,0.0,0,0,1,0,1,0,0
178312903,4.7083006,0.0,0,0,1,0,1,0,0
178811710,4.572949,0.0,0,0,1,0,1,0,0
179312254,4.740527,0.0,0,0,1,0,1,0,0
179811617,4.7179685,0.0,0,0,1,0,1,0,0
180323958,4.5213866,0.0,0,0,1,0,1,0,0
180821643,4.701855,0.0,0,0,1,0,1,0,0
181321744,4.4037595,0.0,0,0,1,0,1,0,0
181836176,4.676074,0.0,0,0,1,0,1,0,0
182331743,4.637402,0.0,0,0,1,0,1,0,0
182842456,4.4311523,0.0,0,0,1,0,1,0,0
183341785,4.676074,0.0,0,0,1,0,1,0,0
183852136,4.650293,0.0,0,0,1,0,1,0,0
184351831,4.637402,0.0,0,0,1,0,1,0,0
184851869,4.637402,0.0,0,0,1,0,1,0,0
185352064,4.566504,0.0,0,0,1,0,1,0,0
185851827,4.6245117,0.0,0,0,1,0,1,0,0
186361835,4.611621,0.0,0,0,1,0,1,0,0
186862073,4.4311523,0.0,0,0,1,0,1,0,0
187373880,4.650293,0.0,0,0,1,0,1,0,0
187873640,4.6051755,0.0,0,0,1,0,1,0,0
188371626,4.4037595,0.0,0,0,1,0,1,0,0
188871827,4.701855,0.0,0,0,1,0,1,0,0
189371650,4.714746,0.0,0,0,1,0,1,0,0
189881770,4.547168,0.0,0,0,1,0,1,0,0
190382023,4.740527,0.0,0,0,1,0,1,0,0
