timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
193691808,0,396809,0.12512933,0.12540582,0.41936827,0.0,0.003,38,34,110,1
194689007,0,396809,0.09186109,0.13409315,0.4162839,0.0,0.003,27,37,109,1
195695429,0,396809,0.110007405,0.19490445,0.3916089,0.0,0.003,33,58,101,1
196703291,0,396809,0.12512933,0.19200866,0.3916089,0.0,0.003,38,57,101,1
197702180,0,396809,-0.047260627,-0.028070282,0.4286214,0.0,0.003,-19,-19,113,1
198700201,0,396809,0.013227076,0.047219884,0.44712767,0.0,0.003,1,7,119,1
199705295,0,396809,0.034397773,0.19780022,0.400862,0.0,0.003,8,59,104,1
200702449,0,396809,0.28542173,0.24123685,0.26206517,0.0,0.003,91,74,59,1
201709186,0,396809,0.32473874,0.06749031,0.32375267,0.0,0.003,104,14,79,1
202705801,0,396809,0.24005598,0.061698765,0.3946933,0.0,0.003,76,12,102,1
203714772,0,396809,0.18864141,0.21807064,0.35768077,0.0,0.003,59,66,90,1
204720495,0,396809,0.18561703,0.2238622,0.36076513,0.0,0.003,58,68,91,1
205716996,0,396809,0.18561703,0.2122791,0.3669339,0.0,0.003,58,64,93,1
206723127,0,396809,0.07673917,0.18042557,0.41936827,0.0,0.003,22,53,110,1
207718859,0,396809,0.013227076,0.12540582,0.43170577,0.0,0.003,1,34,114,1
208727288,0,396809,-0.03516309,0.02984523,0.43787453,0.0,0.003,-15,1,116,1
209725428,0,396809,0.0071783056,-0.21919148,0.3916089,0.0,0.003,-1,-85,101,1
210731199,0,396809,0.18561703,-0.32633516,0.24355891,0.0,0.003,58,-122,53,1
211740104,0,396809,0.40337276,-0.106256224,0.22813703,0.0,0.003,130,-46,48,1
212738119,0,396809,0.055568468,-0.16417174,0.40394637,0.0,0.003,15,-66,105,1
213735764,0,396809,0.17351949,-0.28000274,0.31141517,0.0,0.003,54,-106,75,1
214744282,0,396809,0.17956828,-0.21919148,0.3545964,0.0,0.003,56,-85,89,1
215741436,0,396809,0.14327565,-0.23656613,0.35768077,0.0,0.003,44,-91,90,1
216750476,0,396809,0.15537319,-0.251045,0.33609015,0.0,0.003,48,-96,83,1
