timestamp,total_written_kb,write_rate_kb_s,dropouts,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
315970314,8096.003,33.238632,10,5146,14336,0,3,120
316971113,8132.705,33.252686,10,2486,14336,0,3,120
317972427,8166.05,33.25288,10,3399,14336,0,3,120
318973327,8202.065,33.263966,10,1962,14336,0,3,120
319974108,8236.014,33.266624,10,2391,14336,0,3,120
320975072,8268.334,33.262688,10,4363,14336,0,3,120
321978160,8302.0,33.26389,10,5068,14336,0,3,120
322980877,8338.233,33.27538,10,3932,14336,0,3,120
323982004,8372.0,33.277187,10,4958,14336,0,3,120
324982908,8408.138,33.28839,10,3501,14336,0,3,120
325985093,8442.0,33.290367,10,4660,14336,0,3,120
326987861,8478.156,33.30126,10,3477,14336,0,3,120
327987948,8512.0,33.303375,10,3047,14336,0,3,120
328990042,8544.199,33.2988,10,4136,14336,0,3,120
329992773,8580.452,33.309914,10,1754,14336,0,3,120
330994128,8614.09,33.311005,10,1680,14336,0,3,120
332001232,8646.092,33.305054,10,3060,14336,0,3,120
333004986,8680.0,33.30689,10,2615,14336,0,3,120
334007435,8712.269,33.302605,10,4787,14336,0,3,120
335010882,8748.727,33.314186,10,2383,14336,0,3,120
336011021,8782.3125,33.315197,10,3077,14336,0,3,120
337012002,8818.661,33.326538,10,1582,14336,0,3,120
338014438,8852.037,33.32642,10,2675,14336,0,3,120
339017901,8884.692,33.323467,10,4993,14336,0,3,120
340018509,8922.234,33.339153,10,2480,14336,0,3,120
341019745,8954.813,33.336178,10,4531,14336,0,3,120
342020626,8988.0,33.33551,10,4909,14336,0,3,120
343026383,9020.019,33.329933,10,6214,14336,0,3,120
344028256,9058.0,33.346832,10,1408,14336,0,3,120
345031126,9090.265,33.342506,10,2202,14336,0,3,120
346034221,9122.731,33.338932,10,2367,14336,0,3,120
347039325,9156.0,33.33806,10,2323,14336,0,3,120
348042302,9188.011,33.33288,10,4816,14336,0,3,120
349046895,9224.214,33.3427,10,3046,14336,0,3,120
350049960,9258.049,33.344105,10,4240,14336,0,3,120
351051140,9296.0,33.360497,10,1258,14336,0,3,120
352052238,9328.031,33.355614,10,3968,14336,0,3,120
353052508,9364.319,33.36603,10,1877,14336,0,3,120
354057111,9398.273,33.367573,10,2294,14336,0,3,120
355060847,9430.137,33.36181,10,4456,14336,0,3,120
356062753,9464.0,33.363354,10,5165,14336,0,3,120
357063979,9500.048,33.37264,10,3635,14336,0,3,120
358064665,9534.0,33.374588,10,3766,14336,0,3,120
359068139,9570.155,33.383884,10,2728,14336,0,3,120
360070011,9604.0,33.38527,10,2405,14336,0,3,120
361070270,9636.051,33.38062,10,3110,14336,0,3,120
362072022,9668.607,33.37757,10,4249,14336,0,3,120
363073100,9702.0,33.3775,10,4410,14336,0,3,120
364077400,9734.085,33.372574,10,4622,14336,0,3,120
365080237,9766.363,33.36851,10,5895,14336,0,3,120
366083223,9804.059,33.382904,10,1885,14336,0,3,120
367086161,9836.096,33.378006,10,4661,14336,0,3,120
369090115,9864.704,33.248985,15,989,14336,0,3,120
370090653,9898.0,33.249084,15,1931,14336,0,3,120
371092798,9930.068,33.244892,15,4912,14336,0,3,120
372098236,9968.0,33.259926,15,1244,14336,0,3,120
373100919,10000.839,33.25823,15,2612,14336,0,3,120
374103507,10032.172,33.25156,15,4554,14336,0,3,120
375108875,10066.0,33.252876,15,4849,14336,0,3,120
376113403,10102.379,33.262672,15,1279,14336,0,3,120
377115824,10136.0,33.263588,15,1777,14336,0,3,120
378116019,10168.056,33.259613,15,3669,14336,0,3,120
379119199,10200.733,33.257374,15,4849,14336,0,3,120
380122109,10234.0,33.257088,15,5509,14336,0,3,120
381122644,10270.067,33.266132,15,4203,14336,0,3,120
382124170,10304.0,33.26812,15,5127,14336,0,3,120
383124966,10340.429,33.278206,15,3084,14336,0,3,120
384126073,10374.0,33.27903,15,3137,14336,0,3,120
385126674,10406.053,33.275043,15,4895,14336,0,3,120
386129901,10444.0,33.289593,15,1183,14336,0,3,120
387134368,10476.012,33.285065,15,4263,14336,0,3,120
