timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
79681937,nan,nan,nan,-0.22200435,9.396605e-32,0.7065391,-0.06512707,-0.33233815,2.754747,-0.60612035,0.0,0.0,0.0,0.0,0.057132076,-0.021264886,-0.48563263
79783099,nan,nan,nan,-0.22200435,3.1337383e-32,1.0060724,-0.16665184,-0.3806178,3.2417967,-1.0528803,-1.3415867,0.0,0.0,0.0,0.073773734,-0.034837265,-0.5052412
79881130,nan,nan,nan,-0.22200435,1.0782676e-32,1.2626728,-0.26986358,-0.6082257,1.6679109,-1.0528803,-3.302147,0.0,0.0,0.0,0.0826926,-0.04564339,-0.5423399
79987430,nan,nan,nan,-0.22200435,3.4271497e-33,1.3269752,-0.29203305,-1.0212467,-0.4580691,0.1093163,-4.0,0.0,0.0,0.0,0.076494716,-0.051445637,-0.60062325
80089770,nan,nan,nan,-0.22200435,1.1302216e-33,1.2357962,-0.28003448,-1.362296,-0.34304178,0.12455354,-2.346947,0.0,0.0,0.0,0.05084967,-0.052851304,-0.62214065
80192274,nan,nan,nan,-0.22200435,3.7222658e-34,1.2955254,-0.2895723,-1.4977968,1.4617016,-0.22077829,-0.29686704,0.0,0.0,0.0,0.047837637,-0.05385792,-0.58378774
80283992,nan,nan,nan,-0.22200435,1.3586148e-34,1.4455892,-0.3174069,-1.4840341,1.7620323,-0.33095145,0.46289998,0.0,0.0,0.0,0.048728615,-0.05795617,-0.5253385
80377964,nan,nan,nan,-0.2894543,-0.062850155,1.6314567,-0.3546871,-1.393568,1.450637,-0.40838742,0.5237453,0.0,0.0,0.0,0.059686832,-0.061705,-0.48169726
80479044,nan,nan,nan,-0.30026764,-0.2733988,1.6828519,-0.47809395,-1.3766502,-0.044223174,-1.1765507,0.023281738,0.0,0.0,0.0,0.04965686,-0.07211425,-0.4770399
80587454,nan,nan,nan,-0.32404056,-0.42042246,1.7297964,-0.5532143,-1.256599,1.3411068,-0.53910214,2.1914816,0.0,0.0,0.0,0.05002979,-0.07564152,-0.46371442
80689474,nan,nan,nan,-0.3553122,-0.48903808,1.9350302,-0.64871734,-1.0286229,2.0983317,-1.2403862,1.4298121,0.0,0.0,0.0,0.061908428,-0.07944993,-0.43352306
80781457,nan,nan,nan,-0.38597733,-0.53173447,2.1181042,-0.79594666,-0.97487485,1.7004817,-1.7004815,0.0,0.0,0.0,0.0,0.07163265,-0.08851092,-0.4529185
80884338,nan,nan,nan,-0.42617252,-0.5649406,2.2818108,-0.9675736,-0.97721195,1.4546986,-1.4546986,0.0,0.0,0.0,0.0,0.08083848,-0.09471015,-0.48428896
80986302,nan,nan,nan,-0.4709382,-0.602198,2.371087,-1.1213923,-0.9741413,0.37987852,-1.4091172,0.0,0.0,0.0,0.0,0.077639416,-0.10322015,-0.5016808
81083494,nan,nan,nan,-0.5178305,-0.59830296,2.3757467,-1.2684782,-0.9770263,0.033349097,-1.4052241,0.0,0.0,0.0,0.0,0.06772858,-0.10446241,-0.51632667
81192244,nan,nan,nan,-0.57354593,-0.5775074,2.3710506,-1.4303187,-0.9740124,-0.05620557,-1.4970449,0.035505377,0.0,0.0,0.0,0.05470577,-0.11731689,-0.5224347
81300998,nan,nan,nan,-0.6299297,-0.5679508,2.3637462,-1.6107243,-0.9740938,-0.09061986,-1.4704225,0.0,0.0,0.0,0.0,0.046216138,-0.12692507,-0.5246774
81395416,nan,nan,nan,-0.68070257,-0.5642128,2.3518398,-1.7762345,-0.97392243,-0.18070126,-1.6576238,0.0,0.0,0.0,0.0,0.039877936,-0.13633478,-0.52924526
