timestamp,safety_switch_available,safety_off,override_available,override_enabled
407104453,1,1,0,0
408093373,1,1,0,0
409115779,1,1,0,0
410105631,1,1,0,0
411095628,1,1,0,0
412118782,1,1,0,0
413108878,1,1,0,0
414098771,1,1,0,0
415122094,1,1,0,0
416112060,1,1,0,0
417102072,1,1,0,0
418124800,1,1,0,0
419116178,1,1,0,0
420105999,1,1,0,0
421127765,1,1,0,0
422117896,1,1,0,0
423141094,1,1,0,0
424132393,1,1,0,0
425121065,1,1,0,0
426148340,1,1,0,0
427133787,1,1,0,0
428123655,1,1,0,0
429146907,1,1,0,0
430139838,1,1,0,0
431127069,1,1,0,0
432149744,1,1,0,0
433141420,1,1,0,0
434164011,1,1,0,0
435153130,1,1,0,0
436143150,1,1,0,0
437168128,1,1,0,0
438159653,1,1,0,0
439149195,1,1,0,0
440168660,1,1,0,0
441158627,1,1,0,0
442148638,1,1,0,0
443171917,1,1,0,0
444161714,1,1,0,0
445151717,1,1,0,0
446174778,1,1,0,0
447164782,1,1,0,0
448154759,1,1,0,0
449179401,1,1,0,0
450167829,1,1,0,0
451157755,1,1,0,0
452180761,1,1,0,0
453171412,1,1,0,0
454162452,1,1,0,0
455186093,1,1,0,0
456173756,1,1,0,0
457197073,1,1,0,0
458187190,1,1,0,0
459181502,1,1,0,0
460199787,1,1,0,0
461189737,1,1,0,0
462179642,1,1,0,0
463202641,1,1,0,0
464193138,1,1,0,0
465183138,1,1,0,0
466207622,1,1,0,0
467196890,1,1,0,0
468219222,1,1,0,0
469210935,1,1,0,0
470201163,1,1,0,0
471221793,1,1,0,0
472211764,1,1,0,0
473236003,1,1,0,0
474225302,1,1,0,0
475214750,1,1,0,0
476238423,1,1,0,0
477227748,1,1,0,0
478222402,1,1,0,0
479240636,1,1,0,0
480230644,1,1,0,0
481220637,1,1,0,0
482244038,1,1,0,0
483234373,1,1,0,0
484223756,1,1,0,0
485246824,1,1,0,0
486237330,1,1,0,0
487227014,1,1,0,0
488249627,1,1,0,0
491254399,1,1,0,0
492242758,1,1,0,0
493270273,1,1,0,0
494258153,1,1,0,0
495247275,1,1,0,0
496268625,1,1,0,0
497258634,1,1,0,0
