timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,id,is_powering_off,warning
134535167,11.4964,11.931935,50.778,47.947117,0.0,828.26776,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
135547053,11.693199,11.835275,50.778,50.410122,0.0,842.54034,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
136546056,11.8244,11.694475,50.778,50.72925,0.0,856.631,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
137545378,11.184799,11.513954,50.778,50.771584,0.0,870.7268,0.96214014,1.0051681,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
138548264,11.275,11.3219795,50.778,50.777195,0.0,884.87274,0.8778787,1.0168641,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
139555749,11.8244,11.34083,50.778,50.777946,0.0,899.08325,0.8881646,1.0154217,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
140555167,12.021199,11.770367,50.2076,44.53201,0.0,911.3517,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
141556283,11.1684,11.67835,50.778,49.944645,0.0,925.46875,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
142565171,11.4636,11.418842,50.778,50.66973,0.0,939.6991,0.9112912,1.0121938,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
143567091,10.873199,11.257274,50.778,50.76369,0.0,953.83093,0.8475109,1.0211463,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
144575169,11.234,11.378202,50.778,50.685604,0.0,967.9955,0.8975244,1.0141128,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
145577141,11.102799,11.40529,50.778,50.765793,0.0,982.1282,0.9087954,1.0125412,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
146576364,11.102799,11.417412,50.778,50.77643,0.0,996.2224,0.9122544,1.0120598,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
147575166,11.07,11.371472,50.778,50.777824,0.0,1010.3106,0.89684016,1.0142084,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
148576432,10.9716,11.257422,50.778,50.777958,0.0,1024.4336,0.84288365,1.021802,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
149585234,11.152,11.159251,50.778,50.777958,0.0,1038.6624,0.79693705,1.0283585,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
