timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
288744942,32767,32767,32767,32767,-47,32767
288749735,32767,32767,32767,-4,32767,32767
288753721,32767,32767,32767,32767,-22,32767
288758818,32767,32767,32767,32767,32767,32767
288763726,32767,32767,32767,32767,32767,32767
288768791,32767,32767,32767,32767,-58,32767
288773721,32767,32767,32767,32767,32767,32767
288778933,32767,32767,32767,-45,-47,32767
288783731,32767,32767,32767,32767,32767,32767
288788798,32767,32767,32767,32767,-32,32767
288793798,32767,32767,32767,32767,32767,32767
288798718,32767,32767,32767,32767,-17,32767
288802799,32767,32767,32767,-23,32767,32767
288807718,32767,32767,32767,32767,32767,32767
288812814,32767,32767,32767,32767,-44,32767
288817725,32767,32767,32767,32767,32767,32767
288822802,32767,32767,32767,32767,-25,32767
288827717,32767,32767,32767,-16,32767,32767
288836809,32767,32767,32767,32767,32767,32767
288841743,32767,32767,32767,32767,32767,32767
288846800,32767,32767,32767,32767,-34,32767
288851741,32767,32767,32767,-7,32767,32767
288856794,32767,32767,32767,32767,-19,32767
288861739,32767,32767,32767,32767,32767,32767
288866804,32767,32767,32767,32767,-8,32767
288871736,32767,32767,32767,32767,32767,32767
288875816,32767,32767,32767,4,32767,32767
288880727,32767,32767,32767,32767,-33,32767
288885808,32767,32767,32767,32767,32767,32767
288890723,32767,32767,32767,32767,-19,32767
288895814,32767,32767,32767,32767,32767,32767
288900898,32767,32767,32767,4,-7,32767
288905808,32767,32767,32767,32767,32767,32767
288910725,32767,32767,32767,32767,32767,32767
288914804,32767,32767,32767,32767,-34,32767
288918906,32767,32767,32767,32767,32767,32767
288922722,32767,32767,32767,32767,32767,32767
288926722,32767,32767,32767,2,-35,32767
288930803,32767,32767,32767,32767,32767,32767
288934881,32767,32767,32767,32767,32767,32767
288939726,32767,32767,32767,32767,-48,32767
288944803,32767,32767,32767,32767,32767,32767
288949722,32767,32767,32767,32767,-36,32767
288954800,32767,32767,32767,-25,32767,32767
288958813,32767,32767,32767,32767,-14,32767
288963722,32767,32767,32767,32767,32767,32767
288968801,32767,32767,32767,32767,32767,32767
288973732,32767,32767,32767,32767,-49,32767
288978802,32767,32767,32767,-20,32767,32767
288983712,32767,32767,32767,32767,-36,32767
288988804,32767,32767,32767,32767,32767,32767
288993723,32767,32767,32767,32767,-23,32767
288997739,32767,32767,32767,32767,32767,32767
289002726,32767,32767,32767,-7,32767,32767
289007803,32767,32767,32767,32767,-49,32767
289012723,32767,32767,32767,32767,32767,32767
289017717,32767,32767,32767,32767,-35,32767
289022903,32767,32767,32767,32767,32767,32767
289027807,32767,32767,32767,-5,-24,32767
289032791,32767,32767,32767,32767,32767,32767
289036811,32767,32767,32767,32767,32767,32767
289041732,32767,32767,32767,32767,-48,32767
289046802,32767,32767,32767,32767,32767,32767
289051736,32767,32767,32767,32767,-35,32767
289056880,32767,32767,32767,-28,32767,32767
289061742,32767,32767,32767,32767,-19,32767
289066791,32767,32767,32767,32767,32767,32767
289071739,32767,32767,32767,32767,32767,32767
289076808,32767,32767,32767,32767,-57,32767
289080791,32767,32767,32767,-19,32767,32767
289085718,32767,32767,32767,32767,-32,32767
289090741,32767,32767,32767,32767,32767,32767
289095813,32767,32767,32767,32767,-14,32767
289100725,32767,32767,32767,32767,32767,32767
289105727,32767,32767,32767,-16,32767,32767
289110724,32767,32767,32767,32767,-49,32767
289114807,32767,32767,32767,32767,32767,32767
289119726,32767,32767,32767,32767,-18,32767
289124803,32767,32767,32767,32767,32767,32767
289129741,32767,32767,32767,-7,32767,32767
289134800,32767,32767,32767,32767,-56,32767
289139740,32767,32767,32767,32767,32767,32767
289145040,32767,32767,32767,32767,-42,32767
289149726,32767,32767,32767,32767,32767,32767
289153816,32767,32767,32767,32767,-17,32767
289158728,32767,32767,32767,-24,32767,32767
289163824,32767,32767,32767,32767,32767,32767
289168722,32767,32767,32767,32767,-53,32767
289173793,32767,32767,32767,32767,32767,32767
289178868,32767,32767,32767,32767,-37,32767
289183803,32767,32767,32767,-24,32767,32767
289188714,32767,32767,32767,32767,-23,32767
289193806,32767,32767,32767,32767,32767,32767
289198727,32767,32767,32767,32767,-6,32767
289202806,32767,32767,32767,32767,32767,32767
289207723,32767,32767,32767,-16,32767,32767
289212845,32767,32767,32767,32767,-34,32767
289217733,32767,32767,32767,32767,32767,32767
289222812,32767,32767,32767,32767,-20,32767
289227722,32767,32767,32767,32767,32767,32767
289236796,32767,32767,32767,32767,32767,32767
289241743,32767,32767,32767,32767,32767,32767
289246801,32767,32767,32767,32767,-34,32767
289251729,32767,32767,32767,32767,32767,32767
289256791,32767,32767,32767,-5,-19,32767
289261730,32767,32767,32767,32767,32767,32767
289266838,32767,32767,32767,32767,-8,32767
289271732,32767,32767,32767,32767,32767,32767
289275803,32767,32767,32767,32767,32767,32767
289280731,32767,32767,32767,32767,-33,32767
289285729,32767,32767,32767,-35,32767,32767
289290722,32767,32767,32767,32767,-19,32767
289295794,32767,32767,32767,32767,32767,32767
289300834,32767,32767,32767,32767,32767,32767
289305807,32767,32767,32767,32767,-57,32767
289310720,32767,32767,32767,-37,32767,32767
289315793,32767,32767,32767,32767,-43,32767
289319810,32767,32767,32767,32767,32767,32767
289324730,32767,32767,32767,32767,-14,32767
289329805,32767,32767,32767,32767,32767,32767
289334807,32767,32767,32767,-28,32767,32767
289339802,32767,32767,32767,32767,-50,32767
289344715,32767,32767,32767,32767,32767,32767
289349794,32767,32767,32767,32767,-36,32767
289354733,32767,32767,32767,32767,32767,32767
289358821,32767,32767,32767,-11,-14,32767
289363714,32767,32767,32767,32767,32767,32767
289368805,32767,32767,32767,32767,32767,32767
289373731,32767,32767,32767,32767,-49,32767
289378724,32767,32767,32767,32767,32767,32767
289383794,32767,32767,32767,-10,-36,32767
289388724,32767,32767,32767,32767,32767,32767
289393810,32767,32767,32767,32767,-24,32767
289397803,32767,32767,32767,32767,32767,32767
