timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
79797723,0.9900568,-0.019949624,-0.05729742,-0.1269115,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79848800,0.98945,-0.019312834,-0.06484239,-0.12810713,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79902857,0.9886606,-0.02239,-0.07163346,-0.13006772,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79956814,0.9879579,-0.025254412,-0.077002876,-0.13180286,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80009814,0.9875905,-0.027908875,-0.077308804,-0.1338263,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80058833,0.98763186,-0.02833267,-0.07345512,-0.13559148,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80112728,0.9878419,-0.027674515,-0.06705309,-0.13750084,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80165811,0.9881214,-0.029047118,-0.058384005,-0.13915412,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80219727,0.98809505,-0.030524258,-0.052645586,-0.14129777,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80272816,0.98777324,-0.03062525,-0.053028494,-0.14336772,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80324733,0.98746884,-0.031894892,-0.05400218,-0.14481638,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80375740,0.9873955,-0.03380502,-0.052596223,-0.14539993,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80428803,0.9867041,-0.038648825,-0.05552938,-0.14777602,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80480719,0.98544174,-0.04540629,-0.061757024,-0.15175277,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80531808,0.98408926,-0.053164404,-0.063208476,-0.15731037,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80584720,0.9827969,-0.05969353,-0.060167193,-0.16409428,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80638802,0.9812469,-0.06429049,-0.05827887,-0.17211862,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80691841,0.9793446,-0.068574876,-0.059692647,-0.18060564,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80745904,0.97683877,-0.07393036,-0.06605408,-0.189624,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80794735,0.9744414,-0.0767356,-0.07174049,-0.19856705,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80847809,0.9718674,-0.07815671,-0.07621729,-0.20870148,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80901864,0.96888113,-0.08049154,-0.08038522,-0.21983784,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
80950717,0.9661676,-0.080584586,-0.08381837,-0.23021892,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81003812,0.963474,-0.078086086,-0.08571125,-0.24140017,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
81057853,0.96008307,-0.078903034,-0.08623298,-0.2541233,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
