timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
476867433,0.18259265,0.038532555,0.40394637
476878856,0.18561703,0.038532555,0.40394637
476890125,0.18864141,0.04142833,0.4131995
476901432,0.18864141,0.04142833,0.40394637
476913344,0.18864141,0.04142833,0.41011515
476924894,0.18864141,0.044324107,0.4131995
476936429,0.1916658,0.04142833,0.41011515
476947808,0.1946902,0.044324107,0.41011515
476959202,0.1916658,0.044324107,0.4131995
476970485,0.1916658,0.044324107,0.4070308
476981868,0.1916658,0.04142833,0.4131995
476993145,0.1946902,0.044324107,0.4131995
477004456,0.1916658,0.047219884,0.4131995
477016318,0.18864141,0.044324107,0.4070308
477027867,0.1916658,0.044324107,0.41011515
477039145,0.1916658,0.047219884,0.40394637
477050452,0.1916658,0.047219884,0.4131995
477061869,0.1916658,0.047219884,0.4070308
477073136,0.1916658,0.044324107,0.40394637
477084432,0.1916658,0.044324107,0.40394637
477095873,0.1946902,0.044324107,0.41011515
477107146,0.18864141,0.044324107,0.4070308
477118430,0.1916658,0.044324107,0.41011515
477129790,0.1946902,0.044324107,0.4070308
477141176,0.1946902,0.05011566,0.40394637
477152438,0.1916658,0.05011566,0.4131995
477163860,0.1916658,0.047219884,0.41011515
477175151,0.1916658,0.047219884,0.4131995
477186447,0.19771457,0.05011566,0.4131995
477198086,0.1946902,0.05011566,0.41011515
477209438,0.1946902,0.047219884,0.4131995
477221328,0.1946902,0.047219884,0.41011515
477232874,0.1946902,0.047219884,0.41011515
477244870,0.19771457,0.053011432,0.40394637
477256156,0.1946902,0.05011566,0.41011515
477267490,0.1946902,0.047219884,0.4131995
477278844,0.1946902,0.047219884,0.4070308
477290122,0.1946902,0.053011432,0.40394637
477301432,0.1946902,0.053011432,0.4131995
477313354,0.1946902,0.05011566,0.40394637
477325013,0.1946902,0.05011566,0.40394637
477336335,0.19771457,0.053011432,0.4070308
477347826,0.1916658,0.053011432,0.40394637
477359133,0.1916658,0.05011566,0.4070308
477370452,0.1946902,0.05011566,0.40394637
477382111,0.19771457,0.053011432,0.41011515
477394042,0.1946902,0.053011432,0.41011515
477405322,0.18864141,0.053011432,0.4070308
477416793,0.1946902,0.05011566,0.40394637
477428208,0.1946902,0.053011432,0.4131995
477439482,0.19771457,0.053011432,0.400862
477450809,0.1946902,0.05011566,0.400862
477462182,0.1946902,0.05011566,0.400862
477473470,0.1946902,0.055907212,0.4070308
477485106,0.1946902,0.053011432,0.40394637
477496429,0.19771457,0.055907212,0.4070308
477508253,0.1946902,0.055907212,0.4070308
477519794,0.1916658,0.058802985,0.4070308
477531181,0.1946902,0.058802985,0.40394637
477542897,0.1946902,0.055907212,0.39777765
477554206,0.1946902,0.053011432,0.40394637
477565542,0.19771457,0.055907212,0.40394637
477577166,0.19771457,0.053011432,0.41011515
477588451,0.1916658,0.053011432,0.40394637
477600086,0.1946902,0.053011432,0.400862
477611433,0.1946902,0.055907212,0.41011515
477623011,0.1946902,0.055907212,0.40394637
477634280,0.1946902,0.053011432,0.41011515
477645679,0.1946902,0.055907212,0.4070308
477657338,0.19771457,0.055907212,0.4131995
