timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
217869894,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
218876015,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219883103,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
220884653,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
221889778,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
222897870,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
223899663,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224907327,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225912384,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
226919233,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227928467,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
228937022,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229940079,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230948078,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
231960206,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
232969820,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
233980895,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
234982221,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235995276,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
236998081,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
238007225,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239018145,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
240019210,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241021186,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241516021,241516014,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241555074,241555067,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242558185,241555067,304676911,304152591,304676911,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243429213,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
243454048,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
244461195,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
245468400,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
246471953,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
247472046,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
248482115,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249486407,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250494767,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
251498197,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
252500336,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
253507258,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
254511930,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
255524379,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
256531438,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
257539086,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
258543971,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259546234,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260557411,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
261566739,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
262568096,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
263575726,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
264585814,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
265589166,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
266590793,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
267601999,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
268604255,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
269614714,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
270619032,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
271623266,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
272634297,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
273644262,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
274653001,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
275653131,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
276660030,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
277672739,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
278676819,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
279680657,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280683991,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
281685701,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
282694053,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
283694088,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284698937,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285707950,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286713969,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
287725075,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288731878,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
289733710,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
290738247,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
291746394,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
292753149,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
293756763,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
294759885,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
295762228,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296773164,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
297774132,243429206,304676911,304152591,304676911,3,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
