timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
457853913,457853781,-0.018311273,0.07449696,0.04378315,0.5127167,0.0,0.0,0.0,-1.0
457953691,457953560,-0.013895499,0.10258352,0.03552273,0.5110391,0.0,0.0,0.0,-1.0
458057694,458057563,-0.015592711,0.07383893,0.027966347,0.5158955,0.0,0.0,0.0,-1.0
458160687,458160551,-0.0012540957,0.08446413,0.021840572,0.5178139,0.0,0.0,0.0,-1.0
458261692,458261558,-0.006896886,0.062409423,0.01074563,0.5221898,0.0,0.0,0.0,-1.0
458363699,458363561,-0.003206674,0.0770659,0.011540212,0.53028166,0.0,0.0,0.0,-1.0
458467701,458467559,-0.023399891,0.05474159,0.018429343,0.53759676,0.0,0.0,0.0,-1.0
458569686,458569551,-0.008055666,0.08972505,0.027680252,0.5420692,0.0,0.0,0.0,-1.0
458674701,458674565,-0.016766865,0.07125145,0.04053472,0.53939563,0.0,0.0,0.0,-1.0
458776690,458776558,-0.0035333717,0.06882315,0.07592538,0.5432758,0.0,0.0,0.0,-1.0
458877742,458877603,-0.04323615,0.08879615,0.09983656,0.5527692,0.0,0.0,0.0,-1.0
458979695,458979558,-0.012385203,0.06490076,0.113199174,0.5550845,0.0,0.0,0.0,-1.0
459081700,459081568,-0.040259432,0.03852909,0.1163244,0.5633689,0.0,0.0,0.0,-1.0
459184705,459184556,-0.0482848,0.066815615,0.12566671,0.5729752,0.0,0.0,0.0,-1.0
459286759,459286628,-0.02853063,0.039025977,0.12499192,0.5817834,0.0,0.0,0.0,-1.0
459388698,459388564,-0.0027642269,0.0604868,0.13431588,0.596037,0.0,0.0,0.0,-1.0
459490690,459490558,-0.05974783,0.07710584,0.13910654,0.60271156,0.0,0.0,0.0,-1.0
459591859,459591723,-0.06915705,0.021238819,0.130071,0.5970036,0.0,0.0,0.0,-1.0
459694689,459694551,-0.041144136,0.07102592,0.12811676,0.58564466,0.0,0.0,0.0,-1.0
459793713,459793571,-0.07052299,0.06700887,0.11998969,0.58153135,0.0,0.0,0.0,-1.0
459896730,459896590,-0.068922535,0.061422862,0.11773057,0.58149755,0.0,0.0,0.0,-1.0
459998706,459998574,-0.020097818,0.037848026,0.11896697,0.58524776,0.0,0.0,0.0,-1.0
460099736,460099591,-0.028440133,0.030710513,0.11688553,0.5836374,0.0,0.0,0.0,-1.0
460202714,460202562,-0.037789103,0.089749955,0.11346921,0.5856829,0.0,0.0,0.0,-1.0
460303793,460303659,-0.048761442,0.06844294,0.110048816,0.5835313,0.0,0.0,0.0,-1.0
460407755,460407614,-0.056148354,0.04759012,0.114382245,0.58019996,0.0,0.0,0.0,-1.0
460507705,460507564,-0.056386117,0.027985314,0.11177823,0.5876752,0.0,0.0,0.0,-1.0
460610690,460610554,-0.012594789,0.06068191,0.11816691,0.59178907,0.0,0.0,0.0,-1.0
460715695,460715563,-0.06466651,0.040810056,0.11451349,0.58807105,0.0,0.0,0.0,-1.0
460816832,460816694,-0.04552581,0.03608935,0.11400681,0.5807644,0.0,0.0,0.0,-1.0
460920745,460920610,-0.024189856,0.07514803,0.11775208,0.57541025,0.0,0.0,0.0,-1.0
461022690,461022558,-0.018239398,0.056006286,0.107303575,0.5730297,0.0,0.0,0.0,-1.0
461126708,461126562,-0.0628767,0.059935056,0.10351395,0.5751431,0.0,0.0,0.0,-1.0
461232705,461232560,-0.061148066,0.06239211,0.09399018,0.58129793,0.0,0.0,0.0,-1.0
461334693,461334559,-0.062744245,0.06269292,0.092389874,0.5871966,0.0,0.0,0.0,-1.0
461436692,461436560,-0.044308215,0.06460409,0.08645661,0.5825711,0.0,0.0,0.0,-1.0
461538688,461538551,-0.02817651,0.076327026,0.08152895,0.56968194,0.0,0.0,0.0,-1.0
461639691,461639560,-0.02085192,0.025548112,0.077973865,0.56011283,0.0,0.0,0.0,-1.0
461739681,461739549,-0.030853778,0.054139342,0.0770913,0.5552406,0.0,0.0,0.0,-1.0
461845695,461845559,-0.031010669,0.07203591,0.07848993,0.55806595,0.0,0.0,0.0,-1.0
461948705,461948551,-0.02924905,0.054480936,0.079149105,0.56384254,0.0,0.0,0.0,-1.0
462049685,462049551,-0.023661867,0.07734913,0.08179348,0.56706995,0.0,0.0,0.0,-1.0
462152714,462152573,-0.023095068,0.04180961,0.089910276,0.5711156,0.0,0.0,0.0,-1.0
462255703,462255561,-0.05225961,0.057044704,0.08140141,0.56763995,0.0,0.0,0.0,-1.0
462357710,462357554,-0.047009796,0.06319842,0.08380842,0.5689813,0.0,0.0,0.0,-1.0
462459822,462459686,-0.0100945085,0.06793717,0.08382974,0.56837994,0.0,0.0,0.0,-1.0
462563757,462563625,-0.036289196,0.04093702,0.07166906,0.57131755,0.0,0.0,0.0,-1.0
462664697,462664554,-0.025720969,0.0641779,0.07470749,0.56778,0.0,0.0,0.0,-1.0
462767701,462767560,-0.027969506,0.05938632,0.07515308,0.5601528,0.0,0.0,0.0,-1.0
462867683,462867549,-0.020197745,0.051442973,0.06807208,0.5505921,0.0,0.0,0.0,-1.0
462967690,462967551,-0.03535191,0.086070485,0.06567363,0.5434571,0.0,0.0,0.0,-1.0
463070703,463070558,-0.043021344,0.05531115,0.0652049,0.5491895,0.0,0.0,0.0,-1.0
463172681,463172549,-0.0034341943,0.07144787,0.06817503,0.5600979,0.0,0.0,0.0,-1.0
463274694,463274555,-0.023443604,0.05999688,0.071119644,0.5629545,0.0,0.0,0.0,-1.0
463375696,463375565,-0.03481254,0.055073157,0.07348386,0.5586865,0.0,0.0,0.0,-1.0
463475681,463475549,-0.00886349,0.059954204,0.07340711,0.55336636,0.0,0.0,0.0,-1.0
463577688,463577549,-0.04388281,0.05470877,0.071284406,0.5507067,0.0,0.0,0.0,-1.0
463679688,463679549,-0.006541416,0.051790424,0.071972534,0.5522579,0.0,0.0,0.0,-1.0
463781924,463781778,-0.044714443,0.056834646,0.069954805,0.55429906,0.0,0.0,0.0,-1.0
463883698,463883560,-0.024495402,0.028428596,0.07562065,0.55722106,0.0,0.0,0.0,-1.0
463987696,463987560,-0.025328934,0.06555683,0.078934506,0.5592095,0.0,0.0,0.0,-1.0
464089697,464089561,-0.015060213,0.06872125,0.08284738,0.5549298,0.0,0.0,0.0,-1.0
464190703,464190552,-0.01935988,0.07893756,0.08112875,0.55735433,0.0,0.0,0.0,-1.0
464292699,464292565,-0.028015425,0.05732637,0.07891618,0.56263494,0.0,0.0,0.0,-1.0
464392694,464392558,-0.020542124,0.08086758,0.07633475,0.5700343,0.0,0.0,0.0,-1.0
464494681,464494549,-0.04412244,0.042658716,0.07747394,0.5704139,0.0,0.0,0.0,-1.0
464597772,464597640,0.0018448876,0.054327544,0.0773145,0.5633603,0.0,0.0,0.0,-1.0
464698690,464698550,-0.017677426,0.0550248,0.075251535,0.5593165,0.0,0.0,0.0,-1.0
464800690,464800551,-0.013068558,0.06399789,0.072616406,0.55927014,0.0,0.0,0.0,-1.0
464901696,464901558,-0.048096813,0.03207453,0.07288109,0.5634093,0.0,0.0,0.0,-1.0
465001692,465001558,-0.02194033,0.0716031,0.07394561,0.55823654,0.0,0.0,0.0,-1.0
465104690,465104558,-0.020041255,0.0507372,0.07494932,0.5547285,0.0,0.0,0.0,-1.0
465205722,465205590,-0.010073198,0.06745778,0.07620148,0.546634,0.0,0.0,0.0,-1.0
465307696,465307560,-0.023045886,0.08679567,0.07581007,0.54441243,0.0,0.0,0.0,-1.0
465408698,465408550,-0.05685015,0.057437487,0.07483997,0.5461968,0.0,0.0,0.0,-1.0
