timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
81167198,-0.12589355,-0.21180601,-0.5605836,-0.58061504,0.9518589,-0.08929559,-0.084074445,-0.2809313,0.0,0.0,-0.5385471,0,0,0,0,0
81270962,-0.13694668,-0.20995037,-0.614892,-0.5694272,0.9434721,-0.09648818,-0.079043575,-0.30708724,0.0,0.0,-0.5420161,0,0,0,0,0
81371017,-0.14508262,-0.21093152,-0.66812897,-0.5648844,0.9344958,-0.10251635,-0.07555685,-0.33241412,0.0,0.0,-0.54441124,0,0,0,0,0
81468246,-0.15805766,-0.22015317,-0.71880835,-0.5596564,0.9244865,-0.11197216,-0.074915715,-0.35661516,0.0,0.0,-0.55202794,0,0,0,0,0
81573662,-0.15864848,-0.22551037,-0.773656,-0.5323182,0.9139722,-0.11523361,-0.07417087,-0.38193545,0.0,0.0,-0.55210286,0,0,0,0,0
81673455,-0.15797548,-0.22468704,-0.8257645,-0.43621477,0.9038066,-0.11666236,-0.070905216,-0.40558094,0.0,0.0,-0.55753636,0,0,0,0,0
81770782,-0.16545509,-0.2364358,-0.8716463,-0.31700686,0.89300275,-0.1240061,-0.07191143,-0.42661154,0.0,0.0,-0.55972576,0,0,0,0,0
81871186,-0.16870438,-0.23350613,-0.91061807,-0.24760407,0.8845235,-0.12619615,-0.067452,-0.4440078,0.0,0.0,-0.5619571,0,0,0,0,0
81975791,-0.16865586,-0.23243919,-0.9450206,-0.21200016,0.8768339,-0.12708078,-0.06481003,-0.45914313,0.0,0.0,-0.5610501,0,0,0,0,0
82099961,-0.16457298,-0.23096663,-0.97646815,-0.06549751,0.8698691,-0.12597306,-0.06312212,-0.4727305,0.0,0.0,-0.5651412,0,0,0,0,0
82196069,-0.1646114,-0.23259868,-0.9940518,-0.022946116,0.86556256,-0.12691812,-0.062716715,-0.48037472,0.0,0.0,-0.5534411,0,0,0,0,0
82304090,-0.1722643,-0.2523173,-1.0076343,-0.0071750134,0.86033994,-0.13525715,-0.06858092,-0.4866388,0.0,0.0,-0.5108317,0,0,0,0,0
82408317,-0.17439173,-0.28270343,-1.0144538,-0.0023247597,0.8561298,-0.14353564,-0.08079566,-0.4898074,0.0,0.0,-0.47780225,0,0,0,0,0
82506458,-0.15945826,-0.26587075,-1.0141325,-0.0007974616,0.85858136,-0.13316989,-0.07716307,-0.4890293,0.0,0.0,-0.49930322,0,0,0,0,0
82609458,-0.15819411,-0.26333183,-1.0141325,-0.0002617172,0.8588596,-0.13202956,-0.076369144,-0.48897457,0.0,0.0,-0.50278974,0,0,0,0,0
82711063,-0.14924875,-0.24112216,-1.0141325,-8.694092e-05,0.861058,-0.12294297,-0.06890123,-0.48858652,0.0,0.0,-0.5088097,0,0,0,0,0
82791511,-0.15052873,-0.24486607,-1.0141325,-3.6500012e-05,0.86071354,-0.12437888,-0.07021657,-0.48864278,0.0,0.0,-0.47962865,0,0,0,0,0
82915427,-0.14798841,-0.23201749,-1.0141325,-9.488435e-06,0.8617659,-0.120245814,-0.06524892,-0.48851103,0.0,0.0,-0.48029074,0,0,0,0,0
82998371,-0.12784395,-0.19700709,-1.0141325,-3.9031656e-06,0.865108,-0.10323004,-0.05492443,-0.48776528,0.0,0.0,-0.52592826,0,0,0,0,0
83105253,-0.10585346,-0.16224806,-1.0141325,-1.2347786e-06,0.8679961,-0.08539014,-0.045133967,-0.48708743,0.0,0.0,-0.6051159,0,0,0,0,0
83205332,-0.10617952,-0.15077169,-1.0141325,-4.1611108e-07,0.8685212,-0.082778364,-0.04004923,-0.48704693,0.0,0.0,-0.5965075,0,0,0,0,0
83305394,-0.10784161,-0.1703322,-1.0141325,-1.4017259e-07,0.8675124,-0.08819041,-0.048174668,-0.487159,0.0,0.0,-0.54187965,0,0,0,0,0
83428349,-0.12058093,-0.20364967,-1.0141325,-3.682533e-08,0.86509067,-0.10167209,-0.059588686,-0.48757574,0.0,0.0,-0.51218647,0,0,0,0,0
83529381,-0.13534954,-0.22185738,-1.0141325,-1.2294754e-08,0.863176,-0.112386115,-0.06391364,-0.48806927,0.0,0.0,-0.5116667,0,0,0,0,0
83627442,-0.12470728,-0.22258289,-1.0141325,-4.222964e-09,0.86371577,-0.10796401,-0.06682557,-0.48772237,0.0,0.0,-0.5197248,0,0,0,0,0
83731796,-0.12852901,-0.22846033,-1.0141325,-1.366688e-09,0.8631284,-0.1110108,-0.068451144,-0.48785284,0.0,0.0,-0.52716064,0,0,0,0,0
83832121,-0.12031472,-0.21120524,-1.0141325,-4.597327e-10,0.8646532,-0.10335778,-0.06294376,-0.48757568,0.0,0.0,-0.52795964,0,0,0,0,0
83931484,-0.12548168,-0.21843417,-1.0141325,-1.5592197e-10,0.8639359,-0.107311696,-0.064830974,-0.4877459,0.0,0.0,-0.50793743,0,0,0,0,0
84029840,-0.12487392,-0.20516248,-1.0141325,-5.3385796e-11,0.8647803,-0.10388924,-0.0592008,-0.48770618,0.0,0.0,-0.52029175,0,0,0,0,0
84129452,-0.11790463,-0.19516674,-1.0141325,-1.8070814e-11,0.86571515,-0.098490216,-0.056546044,-0.48748285,0.0,0.0,-0.5260839,0,0,0,0,0
84229977,-0.11742824,-0.18101783,-1.0141325,-6.0677396e-12,0.86651903,-0.094903685,-0.050496887,-0.48743016,0.0,0.0,-0.53111076,0,0,0,0,0
84348322,-0.11364187,-0.17450207,-1.0141325,-1.6618937e-12,0.867039,-0.0917041,-0.048579484,-0.48731273,0.0,0.0,-0.5284167,0,0,0,0,0
84450247,-0.106358126,-0.16784824,-1.0141325,-5.501995e-13,0.86770105,-0.086951666,-0.047453005,-0.48711652,0.0,0.0,-0.525993,0,0,0,0,0
84553374,-0.108830735,-0.16982606,-1.0141325,-1.8033688e-13,0.86749405,-0.08849819,-0.04771306,-0.4871812,0.0,0.0,-0.52847385,0,0,0,0,0
84647875,-0.113326766,-0.17983511,-1.0141325,-6.411911e-14,0.8667745,-0.092843585,-0.050980885,-0.48732227,0.0,0.0,-0.527745,0,0,0,0,0
84754064,-0.10705655,-0.18034999,-1.0141325,-2.0411995e-14,0.86703444,-0.09024894,-0.05273286,-0.4871608,0.0,0.0,-0.525913,0,0,0,0,0
84852372,-0.1040241,-0.18581285,-1.0141325,-7.0042264e-15,0.86688364,-0.09024196,-0.05585227,-0.48708278,0.0,0.0,-0.52823704,0,0,0,0,0
84952350,-0.103883386,-0.18682298,-1.0141325,-2.362918e-15,0.8668363,-0.090422705,-0.056326736,-0.4870789,0.0,0.0,-0.5220233,0,0,0,0,0
85052429,-0.11136752,-0.21212693,-1.0141325,-7.960767e-16,0.8650521,-0.09970847,-0.06552562,-0.4872879,0.0,0.0,-0.47127113,0,0,0,0,0
85149867,-0.11748833,-0.23189305,-1.0141325,-2.75049e-16,0.8635074,-0.1070608,-0.07263673,-0.4874596,0.0,0.0,-0.44930294,0,0,0,0,0
85261451,-0.11315624,-0.2148391,-1.0141325,-8.0366426e-17,0.86479944,-0.1011287,-0.06627058,-0.48734295,0.0,0.0,-0.49005476,0,0,0,0,0
85362392,-0.11340179,-0.18704125,-1.0141325,-2.6858038e-17,0.86638427,-0.09459931,-0.05410311,-0.48734194,0.0,0.0,-0.515195,0,0,0,0,0
85443422,-0.106035404,-0.17909387,-1.0141325,-1.1251478e-17,0.8671457,-0.08950553,-0.052434076,-0.48713216,0.0,0.0,-0.5281163,0,0,0,0,0
85561085,-0.10872851,-0.16160417,-1.0141325,-3.1030115e-18,0.8679037,-0.08648346,-0.04415293,-0.4871491,0.0,0.0,-0.530671,0,0,0,0,0
85659478,-0.1066212,-0.15444915,-1.0141325,-1.0620714e-18,0.86833316,-0.083852686,-0.041545715,-0.48707318,0.0,0.0,-0.5297331,0,0,0,0,0
85761436,-0.11206257,-0.14975403,-1.0141325,-3.518735e-19,0.8683211,-0.08508863,-0.038172506,-0.4871563,0.0,0.0,-0.5276698,0,0,0,0,0
85862005,-0.10790154,-0.14788206,-1.0141325,-1.1825281e-19,0.8685814,-0.08283257,-0.038369372,-0.48706552,0.0,0.0,-0.5173452,0,0,0,0,0
85961336,-0.11018382,-0.1497713,-1.0141325,-4.0113106e-20,0.8683998,-0.08427707,-0.038637653,-0.48712036,0.0,0.0,-0.5203634,0,0,0,0,0
86058167,-0.1134314,-0.14911392,-1.0141325,-1.3944787e-20,0.86829233,-0.08552934,-0.037559863,-0.48717806,0.0,0.0,-0.52295005,0,0,0,0,0
86182313,-0.12299975,-0.14112818,-1.0141325,-3.6142344e-21,0.8682446,-0.087767735,-0.03174537,-0.4872785,0.0,0.0,-0.52423966,0,0,0,0,0
86283424,-0.11891482,-0.14461942,-1.0278145,-0.03290085,0.8649095,-0.08706413,-0.033668727,-0.49317104,0.0,0.0,-0.5289538,0,0,0,0,0
86382777,-0.1193681,-0.1322593,-1.031257,-0.13085264,0.86459213,-0.084305406,-0.028040024,-0.49455714,0.0,0.0,-0.5281053,0,0,0,0,0
86482419,-0.11445723,-0.10189345,-1.0378392,-0.18328965,0.8643645,-0.074817576,-0.015818547,-0.49701717,0.0,0.0,-0.5288986,0,0,0,0,0
86590281,-0.12308179,-0.06872147,-1.0523142,-0.2023582,0.86153585,-0.07037249,0.0012178188,-0.5027944,0.0,0.0,-0.53165114,0,0,0,0,0
86682284,-0.13870077,-0.052480534,-1.0711011,-0.21093377,0.85669744,-0.07292924,0.012840493,-0.5104762,0.0,0.0,-0.51711774,0,0,0,0,0
86785495,-0.18841527,-0.02925466,-1.0925229,-0.2438402,0.8498779,-0.08793511,0.03642015,-0.51831317,0.0,0.0,-0.5236388,0,0,0,0,0
86884716,-0.20884667,-0.006545079,-1.1176493,-0.29583916,0.843075,-0.09010266,0.05250375,-0.5275883,0.0,0.0,-0.5269148,0,0,0,0,0
86981084,-0.21560228,-0.0011658634,-1.1473958,-0.31972232,0.83498996,-0.090681404,0.057908136,-0.5396437,0.0,0.0,-0.5239021,0,0,0,0,0
87106319,-0.2260374,-0.02080181,-1.1885333,-0.37279767,0.822572,-0.09922464,0.054578636,-0.55727094,0.0,0.0,-0.52177244,0,0,0,0,0
87204276,-0.23141627,-0.047537692,-1.2223992,-0.47565395,0.8116797,-0.10806962,0.046898615,-0.57209915,0.0,0.0,-0.5201379,0,0,0,0,0
87303870,-0.2376892,-0.06989418,-1.2623842,-0.5631486,0.7986959,-0.116134934,0.04191447,-0.58893186,0.0,0.0,-0.5199785,0,0,0,0,0
87404946,-0.22993515,-0.104302704,-1.3092707,-0.6414083,0.7833209,-0.12240531,0.028672872,-0.6087718,0.0,0.0,-0.52288884,0,0,0,0,0
87506760,-0.22432743,-0.11677623,-1.3614733,-0.67161024,0.7667994,-0.12332843,0.025260821,-0.6294209,0.0,0.0,-0.5265032,0,0,0,0,0
87603454,-0.21116588,-0.13393362,-1.4126937,-0.6964612,0.7502288,-0.12318315,0.017626332,-0.64936274,0.0,0.0,-0.5305941,0,0,0,0,0
87711162,-0.20893261,-0.17322603,-1.475553,-0.72653323,0.72710574,-0.13474146,0.0062163747,-0.67314434,0.0,0.0,-0.53754133,0,0,0,0,0
87805366,-0.18437344,-0.21464054,-1.5319413,-0.74541986,0.706685,-0.13990444,-0.013420982,-0.69342846,0.0,0.0,-0.5350552,0,0,0,0,0
87906478,-0.17263502,-0.22139652,-1.5969886,-0.761092,0.6841111,-0.13862559,-0.015423998,-0.715917,0.0,0.0,-0.5354559,0,0,0,0,0
88026248,-0.1792967,-0.20091628,-1.6758978,-0.7694433,0.6562694,-0.13383436,-0.0006145171,-0.74256206,0.0,0.0,-0.5343605,0,0,0,0,0
88127343,-0.18301475,-0.1825743,-1.7519943,-0.7783138,0.6284988,-0.12799539,0.011784446,-0.76711637,0.0,0.0,-0.53376955,0,0,0,0,0
88228989,-0.19639364,-0.1856505,-1.8274815,-0.7868288,0.5980334,-0.13266273,0.020950135,-0.79013777,0.0,0.0,-0.5365912,0,0,0,0,0
88332075,-0.20227307,-0.18884015,-1.9061304,-0.79170454,0.56590104,-0.13468039,0.027612243,-0.8129298,0.0,0.0,-0.5333166,0,0,0,0,0
88432460,-0.193126,-0.20196569,-1.9840739,-0.79323685,0.5335274,-0.1364681,0.025414722,-0.8343135,0.0,0.0,-0.5221589,0,0,0,0,0
88530445,-0.18832429,-0.22546087,-2.0571756,-0.79132545,0.5014223,-0.14414103,0.022234343,-0.8528216,0.0,0.0,-0.5200139,0,0,0,0,0
88629487,-0.16112961,-0.23964569,-2.1227403,-0.7902358,-0.47421065,0.1429853,-0.011649264,0.8686448,0.0,0.0,-0.51823145,0,0,0,0,0
88731682,-0.09301379,-0.25984117,-2.190681,-0.7826195,-0.44804028,0.13616234,0.018253773,0.8833949,0.0,0.0,-0.513503,0,0,0,0,0
88833170,-0.04427608,-0.27713147,-2.2563152,-0.6410727,-0.42135316,0.13417116,0.039335858,0.8960538,0.0,0.0,-0.5112474,0,0,0,0,0
88941343,-0.046777457,-0.2827466,-2.314664,-0.50947434,-0.39464942,0.13829692,0.0353948,0.90767455,0.0,0.0,-0.51746726,0,0,0,0,0
89042139,-0.056886647,-0.289468,-2.3602157,-0.44848236,-0.37289813,0.14402442,0.028882349,0.91617125,0.0,0.0,-0.52351314,0,0,0,0,0
89146504,-0.061371952,-0.29665145,-2.400479,-0.3804488,-0.35376325,0.1486757,0.025207242,0.923099,0.0,0.0,-0.5268603,0,0,0,0,0
89240263,-0.07030857,-0.30758086,-2.4326243,-0.14629841,-0.3377488,0.1556278,0.020565886,0.92805326,0.0,0.0,-0.52782154,0,0,0,0,0
89338507,-0.06878125,-0.31654757,-2.4509933,-0.050012752,-0.32895085,0.15971552,0.021367451,0.9304976,0.0,0.0,-0.52517545,0,0,0,0,0
89460270,-0.068379365,-0.32057053,-2.4588065,-0.013277593,-0.32517466,0.16159908,0.021605395,0.93149364,0.0,0.0,-0.516677,0,0,0,0,0
89556079,-0.061207727,-0.33786547,-2.4580092,-0.004662615,-0.32540262,0.1684409,0.027908111,0.93003327,0.0,0.0,-0.52258724,0,0,0,0,0
