timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
75886876,15961736,32.387893700000006,-117.0745242,-0.23335221,-0.6793381,0.9368433,0.0075267805,0.009844232,0.0,-0.053313334,0.011067888,-0.28408536,-0.46121728,0.091324784,0.04797906,-0.06365676,0.7687741,-0.1884742,-0.11726993,-0.20752293,21.878475,0.36582422,0.36774904,0.24539596,0.16835275,0.104306184,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75984731,15961736,32.387893700000006,-117.0745242,-0.23901789,-0.68592316,0.89840555,0.0075267805,0.009844232,0.0,-0.050443083,0.017027352,-0.29945982,-0.46510693,0.091324784,0.04797906,-0.06365676,0.41090262,-0.045166183,-0.16630064,-0.20752867,21.878475,0.40426195,0.37922958,0.24533722,0.17299904,0.10464087,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
76091751,15961736,32.387893700000006,-117.0745242,-0.24318375,-0.69268966,0.86488295,0.0075267805,0.009844232,0.0,-0.049240515,0.015153356,-0.30281404,-0.45081967,0.091324784,0.04797906,-0.06365676,-0.32927012,0.30844295,-1.3864884,-0.20732541,21.878475,0.43778455,0.36759564,0.24511991,0.1687113,0.104232766,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
76598800,15961736,32.387893700000006,-117.0745242,-0.24820234,-0.6794267,0.7151149,0.0075267805,0.009844232,0.0,0.043181263,0.20402925,-0.4473068,-0.50288624,0.091324784,0.04797906,-0.06365676,0.71451104,2.0766938,1.1150048,-0.2089918,21.878475,0.5875526,0.38145095,0.24626124,0.17436786,0.10487256,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
76906803,15961736,32.387893700000006,-117.0745242,-0.21611634,-0.5946314,0.6667843,0.0075267805,0.009844232,0.0,0.10878909,0.33948153,-0.36478287,-0.33271393,0.091324784,0.04797906,-0.06365676,0.6964954,0.14980069,0.8172415,-0.24402942,21.878475,0.6358832,0.36956602,0.24573839,0.16980618,0.10444583,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77007882,15961736,32.387893700000006,-117.0745242,-0.20278142,-0.56068766,0.6764006,0.0075267805,0.009844232,0.0,0.11466382,0.38326052,-0.35509804,-0.2830092,0.091324784,0.04797906,-0.06365676,0.32500884,2.4594033,1.325473,-0.2498181,21.878475,0.6262669,0.38272527,0.24479912,0.1747287,0.10459283,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77110728,15961736,32.387893700000006,-117.0745242,-0.18042156,-0.52705073,0.68514,0.0075267805,0.009844232,0.0,0.117580876,0.40001306,-0.35735333,-0.25047958,0.091324784,0.04797906,-0.06365676,-0.20300725,0.51527584,0.7209325,-0.25426847,21.878475,0.6175275,0.3705301,0.2441722,0.17009754,0.104173,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77212735,15961736,32.387893700000006,-117.0745242,-0.16125281,-0.49214968,0.6928346,0.0075267805,0.009844232,0.0,0.11587154,0.41094196,-0.39772215,-0.26141062,0.091324784,0.04797906,-0.06365676,-0.29539904,1.5467397,-0.5440097,-0.2571273,21.878475,0.6098329,0.38348702,0.24491435,0.17546602,0.10475805,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77310803,15961736,32.387893700000006,-117.0745242,-0.14316168,-0.4593276,0.6908481,0.0075267805,0.009844232,0.0,0.12773767,0.36753094,-0.46388975,-0.30621272,0.091324784,0.04797906,-0.06365676,-0.659185,0.82981974,0.26415148,-0.2608009,21.878475,0.6118194,0.3710126,0.24580278,0.17059794,0.10466871,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77407869,15961736,32.387893700000006,-117.0745242,-0.12623434,-0.4273025,0.6647278,0.0075267805,0.009844232,0.0,0.12612812,0.35399565,-0.5854635,-0.42256367,0.091324784,0.04797906,-0.06365676,0.37747014,0.69537467,-1.2219454,-0.2676631,21.878475,0.6379397,0.3833434,0.24617285,0.17527594,0.10512238,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77509731,15961736,32.387893700000006,-117.0745242,-0.10585957,-0.3906628,0.6261346,0.0075267805,0.009844232,0.0,0.11581407,0.35074815,-0.7754532,-0.60253245,0.091324784,0.04797906,-0.06365676,-0.20893936,0.35265478,-1.7777594,-0.2734301,21.878475,0.6765329,0.37157914,0.24561223,0.17092,0.10473739,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77617829,15961736,32.387893700000006,-117.0745242,-0.08686286,-0.35112625,0.5594801,0.0075267805,0.009844232,0.0,0.1094825,0.33507714,-0.9994509,-0.8168038,0.091324784,0.04797906,-0.06365676,0.40210736,-0.31996265,-2.323822,-0.2781557,21.878475,0.7431874,0.3846038,0.24636374,0.17671423,0.10535593,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
77719813,15961736,32.387893700000006,-117.0745242,-0.06969978,-0.30734944,0.48027676,0.0075267805,0.009844232,0.0,0.09808596,0.32062006,-1.1420443,-0.9477261,0.091324784,0.04797906,-0.06365676,-0.55093366,-0.74404144,-1.246937,-0.27947143,21.878475,0.82239074,0.37361243,0.24444218,0.17361738,0.10455913,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
